Order ID,Order Date,State,Region,Segment,Category,Sub-Category,Sales,Discount,Profit
ORD-1031,2023-03-03,Illinois,Central,Home Office,Technology,Phones,830.45,0.0,115.59
ORD-1032,2023-07-01,New York,West,Corporate,Furniture,Tables,288.13,0.0,53.5
ORD-1033,2023-04-15,Arizona,West,Home Office,Technology,Phones,149.51,0.1,22.51
ORD-1034,2023-02-23,Ohio,West,Consumer,Office Supplies,Storage,83.81,0.1,16.49
ORD-1035,2023-06-15,Arizona,South,Home Office,Furniture,Tables,774.52,0.0,77.2
ORD-1036,2023-04-16,Florida,East,Consumer,Office Supplies,Storage,15.47,0.0,3.93
ORD-1037,2023-08-05,Illinois,West,Home Office,Technology,Phones,709.79,0.0,164.85
ORD-1038,2023-03-19,Texas,East,Home Office,Office Supplies,Binders,773.56,0.2,-101.71
ORD-1039,2023-05-11,Illinois,Central,Consumer,Office Supplies,Storage,364.88,0.2,-44.16
ORD-1040,2023-02-10,Texas,East,Consumer,Furniture,Tables,864.47,0.2,5.04
ORD-1041,2023-10-19,Ohio,South,Corporate,Furniture,Chairs,337.59,0.0,22.24
ORD-1042,2023-09-29,Washington,West,Corporate,Technology,Accessories,317.87,0.0,41.74
ORD-1043,2023-03-13,New York,East,Corporate,Furniture,Chairs,732.31,0.0,153.34
ORD-1044,2023-11-20,Ohio,East,Corporate,Office Supplies,Paper,888.34,0.0,149.29
ORD-1045,2023-11-09,California,Central,Consumer,Office Supplies,Paper,128.4,0.0,29.32
ORD-1046,2023-10-12,Illinois,South,Consumer,Office Supplies,Storage,763.18,0.1,68.93
ORD-1047,2023-09-12,New York,East,Consumer,Furniture,Tables,773.26,0.1,56.8
ORD-1048,2023-04-11,Texas,South,Consumer,Technology,Phones,527.51,0.0,82.76
ORD-1049,2023-09-12,Arizona,West,Corporate,Furniture,Bookcases,35.16,0.0,2.71
ORD-1050,2023-01-28,California,East,Corporate,Technology,Copiers,41.11,0.0,8.6
ORD-1051,2023-03-17,Ohio,South,Home Office,Furniture,Bookcases,321.21,0.0,56.9
ORD-1052,2023-01-11,Texas,South,Corporate,Office Supplies,Paper,908.49,0.2,-79.65
ORD-1053,2023-06-19,Illinois,East,Consumer,Technology,Phones,416.28,0.0,99.44
ORD-1054,2023-03-06,Illinois,South,Consumer,Furniture,Bookcases,236.51,0.0,16.38
ORD-1055,2023-02-09,New York,West,Consumer,Furniture,Tables,296.85,0.0,26.81
ORD-1056,2023-07-17,Arizona,East,Consumer,Technology,Copiers,930.4,0.0,234.49
ORD-1057,2023-01-21,Arizona,West,Home Office,Technology,Copiers,637.07,0.0,170.65
ORD-1058,2023-09-10,Arizona,East,Corporate,Office Supplies,Binders,805.64,0.2,-83.27
ORD-1059,2023-04-19,New York,West,Consumer,Furniture,Chairs,893.63,0.0,165.17
ORD-1060,2023-04-19,Ohio,Central,Home Office,Technology,Phones,809.37,0.0,221.79
ORD-1061,2023-11-19,Ohio,East,Home Office,Technology,Accessories,324.82,0.3,-72.27
ORD-1062,2023-04-28,Texas,West,Corporate,Technology,Copiers,235.66,0.3,-33.75
ORD-1063,2023-03-05,Florida,South,Consumer,Technology,Phones,819.83,0.3,-28.54
ORD-1064,2023-04-02,Illinois,West,Corporate,Office Supplies,Paper,16.88,0.0,3.0
ORD-1065,2023-05-09,California,South,Home Office,Office Supplies,Storage,423.24,0.0,44.66
ORD-1066,2023-07-31,Illinois,West,Consumer,Furniture,Bookcases,128.67,0.2,-8.44
ORD-1067,2023-09-07,Florida,West,Consumer,Office Supplies,Paper,943.48,0.0,123.41
ORD-1068,2023-02-05,Florida,East,Home Office,Furniture,Bookcases,523.6,0.0,118.21
ORD-1069,2023-12-06,Texas,Central,Corporate,Technology,Accessories,369.99,0.2,34.39
ORD-1070,2023-03-01,Ohio,Central,Home Office,Technology,Accessories,962.82,0.2,-83.82
ORD-1071,2023-03-28,Arizona,Central,Corporate,Furniture,Bookcases,502.28,0.1,12.67
ORD-1072,2023-01-07,Washington,South,Home Office,Furniture,Bookcases,291.99,0.0,17.29
ORD-1073,2023-11-04,Washington,South,Home Office,Technology,Copiers,613.47,0.0,107.77
ORD-1074,2023-10-17,Ohio,East,Consumer,Technology,Phones,60.96,0.2,-4.9
ORD-1075,2023-08-25,Washington,Central,Corporate,Technology,Copiers,909.18,0.3,-172.84
ORD-1076,2023-11-11,California,East,Corporate,Office Supplies,Binders,153.45,0.0,26.45
ORD-1077,2023-08-16,Washington,West,Consumer,Furniture,Chairs,985.79,0.0,108.94
ORD-1078,2023-09-16,California,Central,Home Office,Furniture,Bookcases,675.41,0.0,162.37
ORD-1079,2023-02-04,Ohio,South,Corporate,Furniture,Bookcases,245.26,0.3,-16.66
ORD-1080,2023-11-13,Ohio,Central,Home Office,Office Supplies,Storage,374.11,0.1,40.43
ORD-1081,2023-08-12,Florida,Central,Consumer,Office Supplies,Paper,637.19,0.2,-10.23
ORD-1082,2023-04-30,Ohio,South,Corporate,Technology,Phones,99.39,0.0,25.72
ORD-1083,2023-09-23,Washington,East,Home Office,Furniture,Tables,327.57,0.0,31.65
ORD-1084,2023-01-02,New York,West,Home Office,Technology,Accessories,50.37,0.0,9.96
ORD-1085,2023-01-10,New York,Central,Home Office,Technology,Copiers,680.79,0.2,-99.3
ORD-1086,2023-02-09,Texas,Central,Home Office,Furniture,Bookcases,516.97,0.0,55.12
ORD-1087,2023-04-08,Texas,West,Consumer,Furniture,Bookcases,648.72,0.2,-69.03
ORD-1088,2023-09-10,Texas,Central,Home Office,Technology,Phones,694.03,0.3,-106.41
ORD-1089,2023-08-14,Arizona,Central,Corporate,Office Supplies,Storage,937.36,0.2,-108.38
ORD-1090,2023-12-01,Florida,South,Home Office,Technology,Phones,347.66,0.1,-7.52
ORD-1091,2023-07-05,Ohio,Central,Corporate,Technology,Phones,925.45,0.3,-28.38
ORD-1092,2023-08-25,California,South,Home Office,Furniture,Bookcases,265.36,0.3,-22.56
ORD-1093,2023-07-16,Texas,Central,Home Office,Furniture,Bookcases,819.05,0.0,154.64
ORD-1094,2023-02-05,Illinois,East,Home Office,Technology,Phones,534.35,0.2,-47.84
ORD-1095,2023-03-25,Illinois,South,Home Office,Furniture,Chairs,102.17,0.0,28.03
ORD-1096,2023-10-21,Washington,Central,Consumer,Furniture,Chairs,901.41,0.0,187.74
ORD-1097,2023-12-13,Ohio,Central,Consumer,Technology,Phones,345.64,0.2,-21.67
ORD-1098,2023-02-23,Arizona,West,Corporate,Office Supplies,Paper,728.7,0.2,54.13
ORD-1099,2023-06-24,Ohio,Central,Home Office,Office Supplies,Storage,888.22,0.3,-48.88
ORD-1100,2023-03-19,Arizona,South,Home Office,Technology,Phones,645.61,0.0,45.86
ORD-1101,2023-08-31,Ohio,West,Home Office,Office Supplies,Storage,170.01,0.1,29.69
ORD-1102,2023-11-16,Illinois,South,Consumer,Technology,Phones,610.36,0.0,31.92
ORD-1103,2023-12-05,Florida,East,Consumer,Furniture,Chairs,110.46,0.3,-9.29
ORD-1104,2023-05-11,Florida,East,Home Office,Technology,Accessories,15.01,0.1,-0.15
ORD-1105,2023-07-08,New York,West,Home Office,Technology,Accessories,553.25,0.0,123.36
ORD-1106,2023-02-16,Texas,Central,Corporate,Furniture,Bookcases,655.44,0.0,69.52
ORD-1107,2023-10-01,New York,Central,Corporate,Office Supplies,Storage,715.06,0.0,78.16
ORD-1108,2023-08-18,Washington,East,Corporate,Technology,Accessories,332.15,0.1,45.38
ORD-1109,2023-11-28,Arizona,South,Consumer,Technology,Accessories,653.14,0.2,40.69
ORD-1110,2023-07-25,Texas,West,Home Office,Office Supplies,Paper,661.04,0.1,60.87
ORD-1111,2023-11-13,Texas,West,Consumer,Furniture,Tables,102.74,0.2,-5.97
ORD-1112,2023-01-02,Florida,Central,Corporate,Furniture,Bookcases,272.55,0.0,30.25
ORD-1113,2023-01-15,California,West,Corporate,Office Supplies,Binders,973.28,0.0,144.31
ORD-1114,2023-07-28,New York,East,Home Office,Technology,Copiers,893.13,0.1,96.27
ORD-1115,2023-05-09,Florida,West,Corporate,Office Supplies,Paper,796.86,0.1,60.29
ORD-1116,2023-01-03,California,South,Corporate,Furniture,Bookcases,581.13,0.1,42.5
ORD-1117,2023-08-26,Illinois,Central,Home Office,Office Supplies,Paper,203.29,0.2,6.22
ORD-1118,2023-09-12,Arizona,Central,Consumer,Technology,Accessories,287.96,0.2,-41.44
ORD-1119,2023-07-31,New York,West,Corporate,Office Supplies,Binders,649.02,0.1,-3.71
ORD-1120,2023-02-28,Washington,East,Home Office,Technology,Phones,941.05,0.1,177.37
ORD-1121,2023-10-08,Texas,East,Corporate,Furniture,Chairs,915.72,0.0,130.53
ORD-1122,2023-08-26,Ohio,West,Home Office,Technology,Copiers,25.3,0.0,7.14
ORD-1123,2023-09-19,Illinois,West,Consumer,Office Supplies,Binders,433.9,0.0,126.55
ORD-1124,2023-05-11,Arizona,South,Consumer,Technology,Accessories,963.98,0.2,60.97
ORD-1125,2023-10-16,Washington,East,Consumer,Furniture,Bookcases,301.5,0.0,44.1
ORD-1126,2023-07-17,California,East,Corporate,Technology,Copiers,852.63,0.0,110.19
ORD-1127,2023-07-19,Arizona,South,Home Office,Technology,Copiers,177.8,0.0,33.64
ORD-1128,2023-11-27,Illinois,East,Corporate,Technology,Accessories,936.79,0.0,209.85
ORD-1129,2023-01-06,New York,South,Home Office,Office Supplies,Paper,574.36,0.2,-72.2
ORD-1130,2023-08-26,California,Central,Home Office,Technology,Phones,618.86,0.0,184.12
ORD-1131,2023-01-26,New York,East,Consumer,Furniture,Bookcases,148.68,0.0,26.7
ORD-1132,2023-04-23,Washington,West,Corporate,Furniture,Tables,878.6,0.0,206.64
ORD-1133,2023-03-15,Illinois,East,Corporate,Office Supplies,Storage,700.05,0.2,17.94
ORD-1134,2023-05-27,New York,East,Consumer,Office Supplies,Paper,365.9,0.3,-64.62
ORD-1135,2023-03-06,Texas,East,Consumer,Furniture,Bookcases,811.27,0.0,204.87
ORD-1136,2023-07-21,Washington,West,Consumer,Furniture,Bookcases,868.4,0.3,-18.84
ORD-1137,2023-11-01,Illinois,South,Consumer,Office Supplies,Binders,516.23,0.2,-12.71
ORD-1138,2023-08-31,Illinois,East,Consumer,Office Supplies,Binders,800.31,0.0,170.06
ORD-1139,2023-02-11,California,East,Consumer,Technology,Copiers,704.95,0.0,175.5
ORD-1140,2023-03-30,California,West,Corporate,Office Supplies,Binders,891.11,0.2,-58.37
ORD-1141,2023-03-26,Arizona,South,Consumer,Furniture,Tables,381.83,0.0,28.06
ORD-1142,2023-07-29,Texas,East,Home Office,Technology,Copiers,582.5,0.1,-23.89
ORD-1143,2023-08-17,California,West,Consumer,Furniture,Bookcases,470.94,0.2,-6.75
ORD-1144,2023-06-14,New York,South,Home Office,Technology,Phones,293.68,0.0,58.06
ORD-1145,2023-08-07,New York,West,Home Office,Technology,Phones,40.2,0.1,-1.63
ORD-1146,2023-03-27,Illinois,West,Corporate,Technology,Copiers,824.37,0.1,33.01
ORD-1147,2023-12-24,Texas,West,Home Office,Technology,Accessories,135.79,0.1,10.94
ORD-1148,2023-05-26,Texas,Central,Consumer,Technology,Accessories,772.29,0.0,80.28
ORD-1149,2023-12-05,Florida,South,Consumer,Technology,Copiers,626.66,0.0,44.7
ORD-1150,2023-08-25,Arizona,South,Consumer,Furniture,Tables,61.16,0.0,11.18
ORD-1151,2023-06-05,Illinois,South,Corporate,Technology,Copiers,545.23,0.0,114.15
ORD-1152,2023-12-26,Washington,West,Consumer,Technology,Copiers,728.83,0.0,214.25
ORD-1153,2023-07-08,California,Central,Home Office,Office Supplies,Binders,521.14,0.0,68.13
ORD-1154,2023-05-14,Texas,West,Home Office,Office Supplies,Binders,797.23,0.2,-65.61
ORD-1155,2023-08-31,California,Central,Home Office,Technology,Copiers,444.58,0.1,-13.51
ORD-1156,2023-09-20,Washington,South,Corporate,Furniture,Chairs,35.1,0.1,6.69
ORD-1157,2023-01-19,Washington,Central,Corporate,Furniture,Tables,837.62,0.0,187.62
ORD-1158,2023-12-21,Ohio,West,Home Office,Office Supplies,Paper,414.86,0.2,-44.26
ORD-1159,2023-03-31,Texas,South,Consumer,Furniture,Tables,164.87,0.3,-30.9
ORD-1160,2023-12-11,California,Central,Consumer,Technology,Phones,553.73,0.0,126.61
ORD-1161,2023-11-12,Arizona,East,Consumer,Office Supplies,Binders,663.6,0.0,79.62
ORD-1162,2023-02-26,Texas,Central,Corporate,Office Supplies,Binders,955.32,0.0,224.0
ORD-1163,2023-04-26,Arizona,East,Corporate,Technology,Accessories,558.81,0.0,113.4
ORD-1164,2023-09-04,Florida,Central,Home Office,Office Supplies,Binders,425.4,0.0,47.62
ORD-1165,2023-02-08,California,Central,Corporate,Furniture,Tables,362.41,0.1,50.54
ORD-1166,2023-11-04,Arizona,Central,Home Office,Furniture,Chairs,24.25,0.0,1.92
ORD-1167,2023-07-12,Illinois,West,Home Office,Furniture,Bookcases,55.54,0.2,-7.77
ORD-1168,2023-11-06,California,East,Consumer,Furniture,Chairs,856.91,0.1,107.9
ORD-1169,2023-10-02,Texas,East,Home Office,Office Supplies,Binders,479.43,0.2,-60.19
ORD-1170,2023-03-17,New York,East,Consumer,Office Supplies,Storage,496.7,0.2,-15.71
ORD-1171,2023-01-26,Florida,West,Home Office,Technology,Accessories,181.47,0.2,-7.54
ORD-1172,2023-01-12,California,East,Corporate,Office Supplies,Binders,404.52,0.0,82.51
ORD-1173,2023-04-01,Florida,Central,Home Office,Technology,Copiers,638.74,0.0,39.17
ORD-1174,2023-06-24,Texas,West,Home Office,Furniture,Chairs,380.87,0.2,2.46
ORD-1175,2023-12-07,Washington,South,Corporate,Furniture,Tables,508.1,0.1,83.39
ORD-1176,2023-07-04,California,Central,Consumer,Office Supplies,Binders,662.11,0.0,60.08
ORD-1177,2023-10-24,Washington,East,Consumer,Office Supplies,Binders,79.86,0.2,0.85
ORD-1178,2023-11-21,Ohio,East,Corporate,Furniture,Tables,36.25,0.0,7.12
ORD-1179,2023-02-13,Illinois,South,Corporate,Technology,Phones,940.83,0.0,182.4
ORD-1180,2023-06-29,Washington,Central,Consumer,Technology,Phones,394.29,0.1,43.7
ORD-1181,2023-07-26,Texas,East,Consumer,Office Supplies,Storage,463.67,0.0,86.43
ORD-1182,2023-09-06,Ohio,West,Home Office,Technology,Copiers,942.05,0.0,138.03
ORD-1183,2023-09-06,Ohio,West,Corporate,Furniture,Bookcases,961.58,0.1,169.56
ORD-1184,2023-01-24,Arizona,South,Consumer,Technology,Copiers,203.83,0.0,13.73
ORD-1185,2023-02-12,Texas,Central,Home Office,Office Supplies,Paper,109.77,0.1,-4.99
ORD-1186,2023-09-24,California,South,Consumer,Technology,Accessories,103.5,0.0,22.85
ORD-1187,2023-12-26,California,South,Home Office,Technology,Copiers,80.48,0.0,10.44
ORD-1188,2023-06-16,Ohio,East,Home Office,Office Supplies,Storage,846.43,0.0,47.25
ORD-1189,2023-03-15,California,Central,Consumer,Office Supplies,Paper,816.32,0.2,-64.93
ORD-1190,2023-11-14,California,South,Consumer,Furniture,Tables,126.98,0.1,15.77
ORD-1191,2023-05-17,Texas,Central,Consumer,Office Supplies,Storage,632.65,0.1,107.15
ORD-1192,2023-08-29,Ohio,East,Consumer,Technology,Copiers,737.72,0.3,-36.24
ORD-1193,2023-02-18,California,South,Corporate,Office Supplies,Storage,289.21,0.1,-1.63
ORD-1194,2023-02-26,California,East,Corporate,Technology,Phones,753.11,0.2,38.94
ORD-1195,2023-12-22,Texas,Central,Home Office,Technology,Copiers,990.6,0.0,151.71
ORD-1196,2023-08-02,Illinois,Central,Home Office,Office Supplies,Paper,378.3,0.3,-21.15
ORD-1197,2023-03-31,Ohio,East,Consumer,Furniture,Bookcases,347.4,0.0,98.21
ORD-1198,2023-07-04,Florida,East,Consumer,Office Supplies,Storage,859.83,0.1,49.22
ORD-1199,2023-11-14,Florida,South,Home Office,Technology,Phones,753.36,0.2,29.11
ORD-1200,2023-06-16,Arizona,West,Corporate,Office Supplies,Paper,112.09,0.0,30.9
ORD-1201,2023-10-27,Florida,West,Corporate,Technology,Accessories,510.2,0.0,130.92
ORD-1202,2023-07-25,California,West,Consumer,Technology,Phones,326.85,0.0,89.52
ORD-1203,2023-04-15,Arizona,East,Consumer,Furniture,Chairs,395.31,0.1,-18.69
ORD-1204,2023-06-18,New York,South,Home Office,Furniture,Tables,906.33,0.1,-24.63
ORD-1205,2023-08-29,New York,Central,Consumer,Furniture,Chairs,326.12,0.2,28.54
ORD-1206,2023-08-14,Washington,Central,Consumer,Furniture,Chairs,951.1,0.0,183.9
ORD-1207,2023-12-11,Illinois,East,Consumer,Office Supplies,Paper,635.52,0.0,103.03
ORD-1208,2023-09-28,Ohio,Central,Home Office,Furniture,Bookcases,300.28,0.0,39.69
ORD-1209,2023-11-17,California,West,Corporate,Furniture,Tables,675.79,0.1,93.32
ORD-1210,2023-08-29,California,West,Home Office,Furniture,Bookcases,793.66,0.0,196.36
ORD-1211,2023-06-11,New York,West,Consumer,Technology,Accessories,100.29,0.1,7.38
ORD-1212,2023-10-01,California,East,Corporate,Office Supplies,Paper,66.98,0.2,-0.85
ORD-1213,2023-10-19,Texas,Central,Consumer,Furniture,Tables,447.12,0.3,-12.55
ORD-1214,2023-01-26,New York,West,Home Office,Office Supplies,Paper,357.41,0.2,-43.15
ORD-1215,2023-03-05,California,Central,Consumer,Office Supplies,Paper,151.56,0.0,36.43
ORD-1216,2023-08-08,Arizona,East,Home Office,Technology,Accessories,622.04,0.3,-139.78
ORD-1217,2023-04-16,Ohio,Central,Consumer,Office Supplies,Paper,93.27,0.0,21.01
ORD-1218,2023-12-09,Florida,West,Home Office,Office Supplies,Paper,82.04,0.0,20.96
ORD-1219,2023-06-08,Illinois,South,Corporate,Office Supplies,Storage,709.18,0.0,49.88
ORD-1220,2023-07-05,Texas,South,Corporate,Furniture,Chairs,93.99,0.1,18.48
ORD-1221,2023-07-28,Ohio,South,Corporate,Furniture,Bookcases,380.53,0.0,54.29
ORD-1222,2023-09-11,Arizona,West,Home Office,Technology,Accessories,814.67,0.3,-10.74
ORD-1223,2023-05-21,Washington,South,Home Office,Office Supplies,Paper,986.14,0.1,136.43
ORD-1224,2023-01-30,Arizona,West,Consumer,Office Supplies,Storage,382.5,0.1,-11.14
ORD-1225,2023-07-11,Arizona,South,Corporate,Office Supplies,Binders,779.38,0.0,147.77
ORD-1226,2023-10-25,California,South,Consumer,Office Supplies,Paper,429.98,0.0,118.93
ORD-1227,2023-07-23,California,West,Corporate,Technology,Phones,120.09,0.1,8.79
ORD-1228,2023-03-15,New York,East,Home Office,Technology,Phones,21.24,0.0,3.55
ORD-1229,2023-10-25,Washington,South,Corporate,Technology,Phones,65.74,0.2,-7.91
ORD-1230,2023-02-21,New York,West,Consumer,Office Supplies,Storage,126.35,0.0,26.82
ORD-1231,2023-08-17,Illinois,Central,Corporate,Furniture,Tables,748.58,0.0,146.6
ORD-1232,2023-04-29,Arizona,Central,Home Office,Furniture,Tables,962.55,0.2,-54.17
ORD-1233,2023-04-05,California,South,Home Office,Furniture,Chairs,292.85,0.0,78.23
ORD-1234,2023-07-15,Texas,South,Home Office,Office Supplies,Binders,231.36,0.1,44.14
ORD-1235,2023-11-02,California,South,Consumer,Furniture,Bookcases,22.03,0.0,6.44
ORD-1236,2023-12-15,Washington,South,Consumer,Office Supplies,Binders,52.73,0.0,14.38
ORD-1237,2023-11-21,Ohio,West,Home Office,Office Supplies,Paper,532.42,0.1,105.55
ORD-1238,2023-11-01,Ohio,West,Consumer,Furniture,Bookcases,83.06,0.0,15.65
ORD-1239,2023-04-05,Ohio,Central,Corporate,Technology,Accessories,969.61,0.1,78.32
ORD-1240,2023-12-16,California,Central,Corporate,Furniture,Tables,633.1,0.2,15.15
ORD-1241,2023-05-07,New York,East,Consumer,Furniture,Tables,460.0,0.0,95.17
ORD-1242,2023-07-05,Florida,Central,Consumer,Furniture,Chairs,588.47,0.0,162.0
ORD-1243,2023-10-30,Illinois,West,Corporate,Office Supplies,Binders,54.99,0.0,6.61
ORD-1244,2023-12-10,Ohio,Central,Home Office,Furniture,Chairs,950.91,0.2,69.0
ORD-1245,2023-01-15,Illinois,South,Home Office,Technology,Phones,461.1,0.3,-43.79
ORD-1246,2023-12-18,Washington,East,Corporate,Furniture,Bookcases,284.61,0.3,-57.77
ORD-1247,2023-04-25,Illinois,Central,Corporate,Technology,Copiers,469.06,0.2,-28.92
ORD-1248,2023-08-15,California,East,Corporate,Furniture,Chairs,587.82,0.2,-76.75
ORD-1249,2023-04-29,Florida,South,Consumer,Furniture,Tables,974.65,0.0,289.04
ORD-1250,2023-06-22,New York,Central,Consumer,Furniture,Bookcases,701.18,0.0,129.03
ORD-1251,2023-05-10,Florida,Central,Corporate,Furniture,Chairs,316.43,0.2,16.91
ORD-1252,2023-01-26,Illinois,West,Corporate,Office Supplies,Storage,687.88,0.0,62.36
ORD-1253,2023-01-28,California,South,Corporate,Office Supplies,Storage,911.82,0.2,50.73
ORD-1254,2023-09-26,Arizona,East,Consumer,Technology,Copiers,950.3,0.0,219.93
ORD-1255,2023-05-17,Washington,East,Corporate,Technology,Phones,617.28,0.0,95.41
ORD-1256,2023-01-24,Ohio,Central,Corporate,Furniture,Bookcases,933.4,0.3,-31.25
ORD-1257,2023-06-12,New York,Central,Home Office,Office Supplies,Storage,54.77,0.1,-2.38
ORD-1258,2023-06-02,Texas,South,Consumer,Furniture,Tables,382.7,0.3,-18.13
ORD-1259,2023-02-10,New York,South,Corporate,Technology,Copiers,987.4,0.0,86.5
ORD-1260,2023-11-18,Texas,South,Home Office,Office Supplies,Binders,598.19,0.0,86.87
ORD-1261,2023-11-26,Texas,West,Consumer,Office Supplies,Binders,970.22,0.0,252.77
ORD-1262,2023-03-11,Washington,South,Home Office,Technology,Copiers,839.95,0.0,140.42
ORD-1263,2023-05-14,New York,Central,Consumer,Furniture,Tables,420.67,0.0,49.79
ORD-1264,2023-03-05,New York,Central,Corporate,Furniture,Chairs,65.81,0.0,17.52
ORD-1265,2023-09-04,Texas,West,Corporate,Office Supplies,Binders,814.77,0.0,244.37
ORD-1266,2023-09-21,Washington,Central,Home Office,Technology,Phones,996.67,0.0,188.23
ORD-1267,2023-05-18,Florida,Central,Consumer,Furniture,Tables,771.3,0.2,66.48
ORD-1268,2023-09-08,Texas,Central,Home Office,Technology,Accessories,851.15,0.1,10.08
ORD-1269,2023-10-04,Washington,South,Home Office,Technology,Copiers,456.04,0.0,37.53
ORD-1270,2023-08-16,Ohio,Central,Consumer,Office Supplies,Paper,954.51,0.0,192.38
ORD-1271,2023-08-14,Ohio,West,Home Office,Office Supplies,Storage,236.36,0.3,-19.4
ORD-1272,2023-03-30,Ohio,West,Consumer,Furniture,Chairs,621.95,0.0,86.79
ORD-1273,2023-08-14,Illinois,East,Consumer,Office Supplies,Paper,122.42,0.0,26.67
ORD-1274,2023-10-12,Texas,South,Corporate,Office Supplies,Binders,525.1,0.0,127.64
ORD-1275,2023-08-30,Texas,West,Consumer,Furniture,Chairs,524.96,0.2,33.1
ORD-1276,2023-05-26,Ohio,West,Home Office,Technology,Phones,556.39,0.0,105.84
ORD-1277,2023-03-16,Washington,Central,Home Office,Technology,Accessories,877.89,0.0,132.45
ORD-1278,2023-01-29,California,East,Consumer,Technology,Accessories,142.68,0.2,-20.38
ORD-1279,2023-04-30,Florida,South,Corporate,Office Supplies,Paper,757.59,0.1,79.61
ORD-1280,2023-07-29,California,Central,Corporate,Office Supplies,Binders,707.04,0.0,73.0
ORD-1281,2023-07-04,Arizona,East,Corporate,Furniture,Chairs,145.01,0.2,-21.22
ORD-1282,2023-05-10,Texas,Central,Corporate,Office Supplies,Storage,357.08,0.0,70.52
ORD-1283,2023-01-12,California,East,Corporate,Office Supplies,Binders,398.32,0.1,23.65
ORD-1284,2023-05-24,Florida,East,Consumer,Office Supplies,Storage,905.12,0.2,-56.96
ORD-1285,2023-07-23,Ohio,Central,Consumer,Technology,Copiers,518.85,0.1,75.71
ORD-1286,2023-08-19,Illinois,South,Corporate,Office Supplies,Binders,402.58,0.1,42.48
ORD-1287,2023-06-30,Ohio,South,Consumer,Furniture,Tables,863.74,0.0,248.22
ORD-1288,2023-07-12,Arizona,Central,Home Office,Office Supplies,Binders,155.6,0.0,43.82
ORD-1289,2023-07-31,Texas,West,Corporate,Office Supplies,Binders,497.2,0.3,-92.2
ORD-1290,2023-04-27,New York,Central,Consumer,Technology,Phones,464.54,0.0,137.04
ORD-1291,2023-01-07,Florida,South,Corporate,Office Supplies,Paper,497.69,0.1,16.02
ORD-1292,2023-03-09,Texas,West,Consumer,Furniture,Bookcases,637.07,0.2,-57.31
